date,datetime,IC
2024-07-03,2024-07-03 06:15:00+00:00,0.009612471388357
2024-07-03,2024-07-03 06:30:00+00:00,-0.011530747102645494
2024-07-03,2024-07-03 06:45:00+00:00,0.021615312330282212
2024-07-03,2024-07-03 07:00:00+00:00,
2024-07-04,2024-07-04 01:45:00+00:00,0.011054985098446752
2024-07-04,2024-07-04 02:00:00+00:00,0.03417380774606699
2024-07-04,2024-07-04 02:15:00+00:00,0.0011805542014270741
2024-07-04,2024-07-04 02:30:00+00:00,-0.017029330340454125
2024-07-04,2024-07-04 02:45:00+00:00,0.011214377944377933
2024-07-04,2024-07-04 03:00:00+00:00,0.006305170458899836
2024-07-04,2024-07-04 03:15:00+00:00,0.012099697387551591
2024-07-04,2024-07-04 03:30:00+00:00,-0.006626656702104509
2024-07-04,2024-07-04 05:15:00+00:00,-0.020072208572869735
2024-07-04,2024-07-04 05:30:00+00:00,-0.030660131108858905
2024-07-04,2024-07-04 05:45:00+00:00,-0.011339573425524732
2024-07-04,2024-07-04 06:00:00+00:00,-0.005439167634114014
2024-07-04,2024-07-04 06:15:00+00:00,-0.018922030167967945
2024-07-04,2024-07-04 06:30:00+00:00,-0.04561353701238325
2024-07-04,2024-07-04 06:45:00+00:00,-0.03904426500350038
2024-07-04,2024-07-04 07:00:00+00:00,
2024-07-05,2024-07-05 01:45:00+00:00,0.007427004372470217
2024-07-05,2024-07-05 02:00:00+00:00,-0.01399854418250072
2024-07-05,2024-07-05 02:15:00+00:00,0.030199007845365344
2024-07-05,2024-07-05 02:30:00+00:00,0.042289899917852626
2024-07-05,2024-07-05 02:45:00+00:00,0.028082908908804053
2024-07-05,2024-07-05 03:00:00+00:00,-0.0044926640485164785
2024-07-05,2024-07-05 03:15:00+00:00,-0.031001946578510943
2024-07-05,2024-07-05 03:30:00+00:00,-0.006251710860157211
2024-07-05,2024-07-05 05:15:00+00:00,-0.055307942937579506
2024-07-05,2024-07-05 05:30:00+00:00,-0.04981659493270343
2024-07-05,2024-07-05 05:45:00+00:00,-0.024962752189996513
2024-07-05,2024-07-05 06:00:00+00:00,0.018029325060475478
2024-07-05,2024-07-05 06:15:00+00:00,0.0030006961654671332
2024-07-05,2024-07-05 06:30:00+00:00,-0.007219421591499228
2024-07-05,2024-07-05 06:45:00+00:00,-0.02294110636479551
2024-07-05,2024-07-05 07:00:00+00:00,
